ASXCode,CompanyName,GICsIndustryGroup
ATV,Activeport Group Ltd,Software & Services
ATX,Amplia Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AU1,The Agency Group Australia Ltd,Real Estate
AUA,Audeara Limited,Consumer Durables & Apparel
AUB,Aub Group Limited,Insurance
AUC,Ausgold Limited,Materials
AUE,Aurum Resources Limited,Materials
AUH,Austchina Holdings Limited,Energy
AUI,Australian United Investment Company Limited,Not Applic
AUK,Aumake Limited.,Retailing
AUN,Aurumin Limited,Materials
AUQ,Alara Resources Limited,Materials
AUR,Auris Minerals Limited,Materials
AUT,Auteco Minerals Ltd,Materials
AUZ,Australian Mines Limited,Materials
AV1,Adveritas Limited,Software & Services
AVA,Ava Risk Group Limited,Technology Hardware & Equipment
AVC,Auctus Investment Group Limited,Diversified Financials
AVD,Avada Group Limited,Commercial & Professional Services
AVE,Avecho Biotechnology Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
AVG,Australian Vintage Ltd,"Food, Beverage & Tobacco"
AVH,Avita Medical Inc.,"Pharmaceuticals, Biotechnology & Life Sciences"
AVJ,Avjennings Limited,Consumer Durables & Apparel
AVL,Australian Vanadium Limited,Materials
AVM,Advance Metals Limited,Materials
AVR,Anteris Technologies Ltd,Health Care Equipment & Services
AVW,Avira Resources Ltd,Materials
AVZ,Avz Minerals Limited,Materials
AW1,American West Metals Limited,Materials
AWC,Alumina Limited,Materials
AWJ,Auric Mining Limited,Materials
AWV,Anova Metals Limited,Materials
AX1,Accent Group Limited,Retailing
AX8,Accelerate Resources Limited,Materials
AXE,Archer Materials Limited,Semiconductors & Semiconductor Equipment
AXI,Axiom Properties Limited,Real Estate
AXP,Axp Energy Limited,Energy
AYA,Artrya Limited,Health Care Equipment & Services
AYI,A1 Investments & Resources Ltd,Diversified Financials
AYM,Australia United Mining Limited,Materials
AYT,Austin Metals Limited,Materials
AZI,Altamin Limited,Materials
AZJ,Aurizon Holdings Limited,Transportation
AZL,Arizona Lithium Limited,Materials
AZS,Azure Minerals Limited,Materials
AZY,Antipa Minerals Limited,Materials
B4P,Beforepay Group Limited,Diversified Financials
BAP,Bapcor Limited,Retailing
BAS,Bass Oil Limited,Energy
BAT,Battery Minerals Limited,Materials
BBC,Bnk Banking Corporation Limited,Banks
BBL,Brisbane Broncos Limited,Media & Entertainment
BBN,Baby Bunting Group Limited,Retailing
BBT,Bluebet Holdings Ltd,Consumer Services
BBX,Bbx Minerals Limited,Materials
BC8,Black Cat Syndicate Limited,Materials
BCA,Black Canyon Limited,Materials
BCB,Bowen Coking Coal Limited,Materials
BCC,Beam Communications Holdings Limited,Technology Hardware & Equipment
BCI,Bci Minerals Limited,Materials
BCK,Brockman Mining Limited,Materials
BCN,Beacon Minerals Limited,Materials
BCT,Bluechiip Limited,Technology Hardware & Equipment
BDG,Black Dragon Gold Corp.,Materials
BDM,Burgundy Diamond Mines Limited,Materials
BDT,Birddog Technology Limited,Technology Hardware & Equipment
BDX,Bcal Diagnostics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
BEE,Broo Ltd,"Food, Beverage & Tobacco"
BEL,Bentley Capital Limited,Not Applic
BEM,Blackearth Minerals Nl,Materials
BEN,Bendigo And Adelaide Bank Limited,Banks
BET,Betmakers Technology Group Ltd,Consumer Services
BEX,Bikeexchange Limited,Retailing
BEZ,Besra Gold Inc.,Materials
BFC,Beston Global Food Company Limited,"Food, Beverage & Tobacco"
BFG,Bell Financial Group Limited,Diversified Financials
BFL,Bsp Financial Group Limited,Banks
BGA,Bega Cheese Limited,"Food, Beverage & Tobacco"
BGD,Barton Gold Holdings Limited,Materials
BGE,Bridge Saas Limited,Software & Services
BGL,Bellevue Gold Limited,Materials
BGP,Briscoe Group Australasia Limited,Retailing
BGT,Bio-Gene Technology Ltd,Materials
BHD,Benjamin Hornigold Limited,Not Applic
BHP,Bhp Group Limited,Materials
BID,Bill Identity Limited,Software & Services
BIM,Bindi Metals Limited,Materials
BIO,Biome Australia Limited,Household & Personal Products
BIR,Bir Financial Limited,Diversified Financials
BIS,Bisalloy Steel Group Limited,Materials
BIT,Biotron Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
BITNE,Biotron Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
BKG,Booktopia Group Limited,Retailing
BKI,Bki Investment Company Limited,Not Applic
BKL,Blackmores Limited,Household & Personal Products
BKT,Black Rock Mining Limited,Materials
BKW,Brickworks Limited,Materials
BKY,Berkeley Energia Limited,Energy
BLD,Boral Limited.,Materials
BLG,Bluglass Limited,Semiconductors & Semiconductor Equipment
BLU,Blue Energy Limited.,Energy
BLX,Beacon Lighting Group Limited,Retailing
BLY,Boart Longyear Group Ltd,Materials
BLZ,Blaze Minerals Limited,Energy
BME,Black Mountain Energy Ltd,Energy
BMG,Bmg Resources Limited,Materials
BMH,Baumart Holdings Limited,Capital Goods
BML,Boab Metals Limited,Materials
BMM,Balkan Mining And Minerals Limited,Materials
BMN,Bannerman Energy Ltd,Energy
BMO,Bastion Minerals Limited,Materials
BMR,Ballymore Resources Limited,Materials
BMT,Beamtree Holdings Limited,Health Care Equipment & Services
BNL,Blue Star Helium Limited,Energy
BNO,Bionomics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
BNR,Bulletin Resources Limited,Materials
BNZ,Benz Mining Corp.,Materials
BOA,Boadicea Resources Limited,Materials
BOC,Bougainville Copper Limited,Materials
BOD,Bod Australia Limited.,Retailing
BOE,Boss Energy Ltd,Energy
BOL,Boom Logistics Limited,Capital Goods
BOQ,Bank Of Queensland Limited.,Banks
BOT,Botanix Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
BPH,Bph Energy Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
BPM,Bpm Minerals Limited,Materials
BPP,Babylon Pump & Power Limited,Capital Goods
BPT,Beach Energy Limited,Energy
BRB,Breaker Resources Nl,Materials
BRG,Breville Group Limited,Consumer Durables & Apparel
BRI,Big River Industries Limited,Materials
BRK,Brookside Energy Limited,Energy
BRL,Bathurst Resources Limited.,Materials
BRN,Brainchip Holdings Ltd,Software & Services
BRU,Buru Energy Limited,Energy
BRX,Belararox Limited,Materials
BSA,Bsa Limited,Commercial & Professional Services
BSE,Base Resources Limited,Materials
BSL,Bluescope Steel Limited,Materials
BSN,Basin Energy Limited,Energy
BST,Best & Less Group Holdings Ltd,Retailing
BSX,Blackstone Minerals Limited,Materials
BTC,Btc Health Ltd,Not Applic
BTE,Botala Energy Ltd,Energy
BTH,Bigtincan Holdings Limited,Software & Services
BTI,Bailador Technology Investments Limited,Diversified Financials
BTN,Butn Limited,Diversified Financials
BTR,Brightstar Resources Limited,Materials
BUB,Bubs Australia Limited,"Food, Beverage & Tobacco"
BUD,Buddy Technologies Ltd,Consumer Durables & Apparel
BUR,Burley Minerals Ltd,Materials
BUS,Bubalus Resources Limited,Materials
BUX,Buxton Resources Limited,Materials
BUY,Bounty Oil & Gas Nl,Energy
BVR,Bellavista Resources Ltd,Materials
BVS,Bravura Solutions Limited.,Software & Services
BWF,Blackwall Limited,Diversified Financials
BWP,Bwp Trust,Real Estate
BWX,Bwx Limited,Household & Personal Products
BXB,Brambles Limited,Commercial & Professional Services
BXN,Bioxyne Limited,Household & Personal Products
BYE,Byron Energy Limited,Energy
BYH,Bryah Resources Limited,Materials
BYI,Beyond International Limited,Media & Entertainment
C1X,Cosmos Exploration Limited,Materials
C29,C29 Metals Limited,Materials
C6C,Copper Mountain Mining Corporation,Materials
C79,Chrysos Corporation Limited,Commercial & Professional Services
C7A,Clara Resources Australia Ltd,Materials
CAA,Capral Limited,Materials
CAD,Caeneus Minerals Ltd,Materials
CAE,Cannindah Resources Limited,Materials
CAF,Centrepoint Alliance Limited,Diversified Financials
CAG,Cape Range Ltd,Software & Services
CAI,Calidus Resources Limited,Materials
CAJ,Capitol Health Limited,Health Care Equipment & Services
CAM,Clime Capital Limited,Not Applic
CAN,Cann Group Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CAQ,Caq Holdings Limited,Real Estate
CAR,Carsales.Com Limited.,Media & Entertainment
CAT,Catapult Group International Ltd,Technology Hardware & Equipment
CAU,Cronos Australia Limited,Health Care Equipment & Services
CAV,Carnavale Resources Limited,Materials
CAY,Canyon Resources Limited,Materials
CAZ,Cazaly Resources Limited,Materials
CBA,Commonwealth Bank Of Australia.,Banks
CBE,Cobre Limited,Materials
CBH,Coolabah Metals Limited,Materials
CBL,Control Bionics Limited,Health Care Equipment & Services
CBO,Cobram Estate Olives Limited,"Food, Beverage & Tobacco"
CBR,Carbon Revolution Limited,Automobiles & Components
CBY,Canterbury Resources Limited,Materials
CCA,Change Financial Limited,Software & Services
CCE,Carnegie Clean Energy Limited,Utilities
CCG,Comms Group Ltd,Telecommunication Services
CCP,Credit Corp Group Limited,Diversified Financials
CCR,Credit Clear Limited,Software & Services
CCV,Cash Converters International,Diversified Financials
CCX,City Chic Collective Limited,Retailing
CCZ,Castillo Copper Limited,Materials
CD1,Cd Private Equity Fund I,Not Applic
CD2,Cd Private Equity Fund Ii,Not Applic
CD3,Cd Private Equity Fund Iii,Not Applic
CDA,Codan Limited,Technology Hardware & Equipment
CDD,Cardno Limited,Commercial & Professional Services
CDM,Cadence Capital Limited,Not Applic
CDO,Cadence Opportunities Fund Limited.,Not Applic
CDP,Carindale Property Trust,Real Estate
CDR,Codrus Minerals Limited,Materials
CDT,Castle Minerals Limited,Materials
CDX,Cardiex Limited,Health Care Equipment & Services
CE1,Calima Energy Limited,Energy
CEL,Challenger Exploration Limited,Energy
CEN,Contact Energy Limited,Utilities
CF1,Complii Fintech Solutions Ltd,Software & Services
CFO,Cfoam Limited,Capital Goods
CG1,Carbonxt Group Limited,Materials
CGA,Contango Asset Management Limited,Diversified Financials
CGB,Cann Global Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CGC,Costa Group Holdings Limited,"Food, Beverage & Tobacco"
CGF,Challenger Limited,Diversified Financials
CGN,Crater Gold Mining Limited,Materials
CGO,Cpt Global Limited,Software & Services
CGS,Cogstate Ltd,Health Care Equipment & Services
CHC,Charter Hall Group,Real Estate
CHK,Cohiba Minerals Limited,Materials
CHL,Camplify Holdings Limited,Transportation
CHM,Chimeric Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CHN,Chalice Mining Limited,Materials
CHR,Charger Metals Nl,Materials
CHZ,Chesser Resources Limited,Materials
CI1,Credit Intelligence Ltd,Commercial & Professional Services
CIA,Champion Iron Limited,Materials
CII,Ci Resources Limited,Materials
CIN,Carlton Investments Limited,Not Applic
CIO,,Technology Hardware & Equipment
CIP,Centuria Industrial Reit,Real Estate
CIW,Clime Investment Management Ltd,Diversified Financials
CKA,Cokal Limited,Materials
CKF,Collins Foods Limited,Consumer Services
CL8,Carly Holdings Limited,Retailing
CLA,Celsius Resources Limited.,Materials
CLB,Candy Club Holdings Limited,Food & Staples Retailing
CLE,Cyclone Metals Limited,Materials
CLG,Close The Loop Ltd.,Commercial & Professional Services
CLH,Collection House Limited,Diversified Financials
CLT,Cellnet Group Limited,Technology Hardware & Equipment
CLU,Cluey Ltd,Consumer Services
CLV,Clover Corporation Limited,Materials
CLW,Charter Hall Long Wale Reit,Real Estate
CLX,Cti Logistics Limited,Transportation
CLZ,Classic Minerals Ltd,Materials
CM8,Crowd Media Holdings Limited,Media & Entertainment
CMD,Cassius Mining Limited,Materials
CMG,Critical Minerals Group Limited,Materials
CML,Chase Mining Corporation Limited,Materials
CMM,Capricorn Metals Ltd,Materials
CMO,Cosmo Metals Limited,Materials
CMP,Compumedics Limited,Health Care Equipment & Services
CMW,Cromwell Property Group,Real Estate
CMX,Chemx Materials Limited,Materials
CNB,Carnaby Resources Limited,Materials
CNI,Centuria Capital Group,Real Estate
CNJ,Conico Ltd,Materials
CNQ,Clean Teq Water Limited,Commercial & Professional Services
CNR,Cannon Resources Limited,Materials
CNU,Chorus Limited,Telecommunication Services
CNW,Cirrus Networks Holdings Limited,Software & Services
COB,Cobalt Blue Holdings Limited,Materials
COD,Coda Minerals Ltd,Materials
COE,Cooper Energy Limited,Energy
COF,Centuria Office Reit,Real Estate
COG,Cog Financial Services Limited,Diversified Financials
COH,Cochlear Limited,Health Care Equipment & Services
COI,Comet Ridge Limited,Energy
COL,Coles Group Limited.,Food & Staples Retailing
COO,Corum Group Limited,Software & Services
COS,Cosol Limited,Software & Services
COY,Coppermoly Limited,Materials
CPH,Creso Pharma Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CPM,Cooper Metals Limited,Materials
CPN,Caspin Resources Limited,Materials
CPO,Culpeo Minerals Limited,Materials
CPON,Culpeo Minerals Limited,Materials
CPT,Cipherpoint Limited,Software & Services
CPU,Computershare Limited.,Software & Services
CPV,Clearvue Technologies Limited,Capital Goods
CQE,Charter Hall Social Infrastructure Reit,Real Estate
CQR,Charter Hall Retail Reit,Real Estate
CR1,Constellation Resources Limited,Materials
CR9,Corella Resources Ltd,Materials
CRB,Carbine Resources Limited,Materials
CRD,Conrad Asia Energy Ltd.,Energy
CRLDB,Comet Resources Limited,Materials
CRM,Carbon Minerals Limited,Energy
CRN,Coronado Global Resources Inc.,Materials
CRR,Critical Resources Limited,Materials
CRS,Caprice Resources Ltd,Materials
CSE,Copper Strike Limited,Materials
CSF,Catalano Seafood Ltd,"Food, Beverage & Tobacco"
CSL,Csl Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CSR,Csr Limited,Materials
CSS,Clean Seas Seafood Limited,"Food, Beverage & Tobacco"
CST,Castile Resources Ltd,Materials
CSX,Cleanspace Holdings Limited,Health Care Equipment & Services
CT1,Constellation Technologies Limited,Technology Hardware & Equipment
CTD,Corporate Travel Management Limited,Consumer Services
CTE,Cryosite Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CTM,Centaurus Metals Limited,Materials
CTO,Citigold Corporation Limited,Materials
CTP,Central Petroleum Limited,Energy
CTQ,Careteq Limited,Health Care Equipment & Services
CTT,Cettire Limited,Retailing
CTV,Colortv Limited,Media & Entertainment
CU6,Clarity Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
CUE,Cue Energy Resources Limited,Energy
CUF,Cufe Ltd,Materials
CUL,Cullen Resources Limited,Materials
CUP,Countplus Limited,Commercial & Professional Services
CUS,Copper Search Limited,Materials
CUV,Clinuvel Pharmaceuticals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CVC,Cvc Limited,Diversified Financials
CVL,Civmec Limited,Capital Goods
CVN,Carnarvon Energy Limited,Energy
CVR,Cavalier Resources Limited,Materials
CVV,Caravel Minerals Limited,Materials
CVW,Clearview Wealth Limited,Diversified Financials
CWL,Consolidated Financial Holdings Limited,Software & Services
CWP,Cedar Woods Properties Limited,Real Estate
CWX,Carawine Resources Limited,Materials
CWXN,Carawine Resources Limited,Materials
CWY,Cleanaway Waste Management Limited,Commercial & Professional Services
CXL,Calix Limited,Materials
CXM,Centrex Limited,Materials
CXO,Core Lithium Ltd,Materials
CXU,Cauldron Energy Limited,Energy
CXX,Cradle Resources Limited,Materials
CXZ,Connexion Telematics Ltd,Software & Services
CY5,Cygnus Gold Limited,Materials
CYC,Cyclopharm Limited,Health Care Equipment & Services
CYG,Coventry Group Limited,Capital Goods
CYL,Catalyst Metals Limited,Materials
CYM,Cyprium Metals Limited,Materials
CYP,Cynata Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CYQ,Cycliq Group Ltd,Consumer Durables & Apparel
CZL,Consolidated Zinc Limited,Materials
CZN,Corazon Mining Limited,Materials
CZR,Czr Resources Ltd,Materials
D2O,Duxton Water Limited,Utilities
DAF,Discovery Alaska Limited,Materials
DAL,Dalaroo Metals Ltd,Materials
DBF,Duxton Farms Ltd,"Food, Beverage & Tobacco"
DBI,Dalrymple Bay Infrastructure Limited,Transportation
DBO,Diablo Resources Limited,Materials
DC2,Dc Two Limited,Software & Services
DCC,Digitalx Limited,Software & Services
DCG,Decmil Group Limited,Capital Goods
DCL,Domacom Limited,Diversified Financials
DCN,Dacian Gold Limited,Materials
DCX,Discovex Resources Limited,Materials
DDB,Dynamic Group Holdings Limited,Capital Goods
DDH,Ddh1 Limited,Materials
DDR,Dicker Data Limited,Technology Hardware & Equipment
DDT,Datadot Technology Limited,Automobiles & Components
DEG,De Grey Mining Limited,Materials
DEL,Delorean Corporation Limited,Utilities
DEM,De.Mem Limited,Utilities
DES,Desoto Resources Limited,Class Pend
DEV,Devex Resources Limited,Energy
DEX,Duke Exploration Limited,Materials
DGH,Desane Group Holdings Limited,Real Estate
DGL,Dgl Group Limited,Materials
DGR,Dgr Global Limited,Materials
DHG,Domain Holdings Australia Limited.,Media & Entertainment
DJW,Djerriwarrh Investments Limited,Not Applic
DKM,Duketon Mining Limited,Materials
DLM,Dominion Minerals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
DLT,Delta Drone International Limited,Technology Hardware & Equipment
DM1,Desert Metals Limited,Materials
DMC,Design Milk Co Limited,Retailing
DME,Dome Gold Mines Limited,Materials
DMG,Dragon Mountain Gold Limited,Materials
DMM,Dmc Mining Limited.,Materials
DMP,Domino'S Pizza Enterprises Limited,Consumer Services
DNA,Donaco International Limited,Consumer Services
DNK,Danakali Limited,Materials
DOC,Doctor Care Anywhere Group Plc,Health Care Equipment & Services
DOR,Doriemus Plc,Energy
DOU,Douugh Limited,Telecommunication Services
